date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:46	48732/48732	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:53:38%20GMT	https://html.rometheme.pro/magicom/index.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/index.html	(from )
13:11:47	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2007:41:44%20GMT	https://html.rometheme.pro/robots.txt		(from )
13:11:47	194901/194901	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2006:19:00%20GMT	https://html.rometheme.pro/magicom/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/css/vendor/bootstrap.min.css	(from https://html.rometheme.pro/magicom/index.html)
13:11:47	113421/113421	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Mar%202023%2000:16:26%20GMT	https://html.rometheme.pro/magicom/css/vendor/fontawesome.css	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/css/vendor/fontawesome.css	(from https://html.rometheme.pro/magicom/index.html)
13:11:47	23767/23767	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jul%202023%2016:34:54%20GMT	https://html.rometheme.pro/magicom/css/vendor/brands.css	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/css/vendor/brands.css	(from https://html.rometheme.pro/magicom/index.html)
13:11:48	631/631	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jul%202023%2016:34:30%20GMT	https://html.rometheme.pro/magicom/css/vendor/regular.css	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/css/vendor/regular.css	(from https://html.rometheme.pro/magicom/index.html)
13:11:48	623/623	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jul%202023%2016:34:04%20GMT	https://html.rometheme.pro/magicom/css/vendor/solid.css	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/css/vendor/solid.css	(from https://html.rometheme.pro/magicom/index.html)
13:11:48	18429/18429	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2019:15:00%20GMT	https://html.rometheme.pro/magicom/css/vendor/swiper-bundle.min.css	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/css/vendor/swiper-bundle.min.css	(from https://html.rometheme.pro/magicom/index.html)
13:11:48	4937/4937	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Jan%202024%2016:50:14%20GMT	https://html.rometheme.pro/magicom/css/style.css	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/css/style.css	(from https://html.rometheme.pro/magicom/index.html)
13:11:49	80420/80420	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2022%20Nov%202022%2006:19:00%20GMT	https://html.rometheme.pro/magicom/js/vendor/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/js/vendor/bootstrap.bundle.min.js	(from https://html.rometheme.pro/magicom/index.html)
13:11:49	87462/87462	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2029%20Jul%202023%2018:09:02%20GMT	https://html.rometheme.pro/magicom/js/vendor/jquery.min.js	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/js/vendor/jquery.min.js	(from https://html.rometheme.pro/magicom/index.html)
13:11:49	140470/140470	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Oct%201985%2019:15:00%20GMT	https://html.rometheme.pro/magicom/js/vendor/swiper-bundle.min.js	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/js/vendor/swiper-bundle.min.js	(from https://html.rometheme.pro/magicom/index.html)
13:11:49	835/835	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2001:56:34%20GMT	https://html.rometheme.pro/magicom/js/script.js	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/js/script.js	(from https://html.rometheme.pro/magicom/index.html)
13:11:50	607/607	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Aug%202023%2016:59:42%20GMT	https://html.rometheme.pro/magicom/js/video_embedded.js	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/js/video_embedded.js	(from https://html.rometheme.pro/magicom/index.html)
13:11:50	4360/4360	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202023%2015:05:32%20GMT	https://html.rometheme.pro/magicom/image/logo.png	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/logo.png	(from https://html.rometheme.pro/magicom/index.html)
13:11:50	32812/32812	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:27:50%20GMT	https://html.rometheme.pro/magicom/index_2.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/index_2.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:50	44693/44693	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2017:22:12%20GMT	https://html.rometheme.pro/magicom/index_3.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/index_3.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:51	25118/25118	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:27:18%20GMT	https://html.rometheme.pro/magicom/about_club.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/about_club.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:51	28447/28447	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:27:28%20GMT	https://html.rometheme.pro/magicom/about_me.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/about_me.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:51	17523/17523	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:27:40%20GMT	https://html.rometheme.pro/magicom/gallery.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/gallery.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:51	22663/22663	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:53:04%20GMT	https://html.rometheme.pro/magicom/blog.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/blog.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:51	25653/25653	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:28:16%20GMT	https://html.rometheme.pro/magicom/press.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/press.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:52	25526/25526	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:28:06%20GMT	https://html.rometheme.pro/magicom/performance.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/performance.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:52	29166/29166	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:28:22%20GMT	https://html.rometheme.pro/magicom/schedule_1.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/schedule_1.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:52	28949/28949	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:28:28%20GMT	https://html.rometheme.pro/magicom/schedule_2.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/schedule_2.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:52	28240/28240	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:28:34%20GMT	https://html.rometheme.pro/magicom/schedule_3.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/schedule_3.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:53	21434/21434	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2016:27:34%20GMT	https://html.rometheme.pro/magicom/contact.html	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/contact.html	(from https://html.rometheme.pro/magicom/index.html)
13:11:54	206709/206709	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Aug%202023%2017:39:36%20GMT	https://html.rometheme.pro/magicom/image/image2.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image2.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:54	56092/56092	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Aug%202023%2020:05:08%20GMT	https://html.rometheme.pro/magicom/image/bg-orname.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/bg-orname.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:55	104096/104096	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2002:48:52%20GMT	https://html.rometheme.pro/magicom/image/image4.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image4.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:55	202166/202166	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Aug%202023%2021:14:18%20GMT	https://html.rometheme.pro/magicom/image/bar.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/bar.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:55	86554/86554	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Aug%202023%2021:20:34%20GMT	https://html.rometheme.pro/magicom/image/image5.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image5.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:56	62536/62536	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Aug%202023%2023:06:48%20GMT	https://html.rometheme.pro/magicom/image/bg-orname-2.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/bg-orname-2.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:56	223735/223735	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Aug%202023%2017:39:08%20GMT	https://html.rometheme.pro/magicom/image/image1.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image1.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:56	48899/48899	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Aug%202023%2017:49:48%20GMT	https://html.rometheme.pro/magicom/image/image6.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image6.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:56	155983/155983	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Aug%202023%2017:39:56%20GMT	https://html.rometheme.pro/magicom/image/image3.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image3.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:56	58249/58249	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2001:18:00%20GMT	https://html.rometheme.pro/magicom/image/image8.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image8.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:57	72656/72656	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2001:18:14%20GMT	https://html.rometheme.pro/magicom/image/image9.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image9.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:57	297799/297799	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2002:47:42%20GMT	https://html.rometheme.pro/magicom/image/image7.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image7.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:57	116173/116173	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2001:18:38%20GMT	https://html.rometheme.pro/magicom/image/image11.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image11.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:57	29800/29800	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2001:18:48%20GMT	https://html.rometheme.pro/magicom/image/image12.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image12.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:58	12661/12661	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2003:07:44%20GMT	https://html.rometheme.pro/magicom/image/badge3.png	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/badge3.png	(from https://html.rometheme.pro/magicom/index.html)
13:11:58	62671/62671	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Aug%202023%2001:18:26%20GMT	https://html.rometheme.pro/magicom/image/image10.jpg	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/image10.jpg	(from https://html.rometheme.pro/magicom/index.html)
13:11:58	10737/10737	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2003:08:02%20GMT	https://html.rometheme.pro/magicom/image/badge1.png	C:/My%20Web%20Sites/Booking/html.rometheme.pro/magicom/image/badge1.png	(from https://html.rometheme.pro/magicom/index.html)
